Timestamp,Response,Descriptor
2023-11-16 11:39:47.112059,Success,Primary
2023-11-16 11:39:47.230974,Success,Primary
2023-11-16 11:39:47.346936,Success,Primary
2023-11-16 11:39:47.459348,Success,Primary
2023-11-16 11:39:47.577994,Success,Primary
2023-11-16 11:39:47.696875,Success,Primary
2023-11-16 11:39:47.812667,Success,Primary
2023-11-16 11:39:47.931525,Success,Primary
2023-11-16 11:39:48.046348,Success,Primary
2023-11-16 11:39:48.159250,Success,Primary
2023-11-16 11:39:48.276010,Success,Primary
2023-11-16 11:39:48.394978,Success,Primary
2023-11-16 11:39:48.506970,Success,Primary
2023-11-16 11:39:48.625910,Success,Primary
2023-11-16 11:39:48.739251,Success,Primary
2023-11-16 11:39:48.854387,Success,Primary
2023-11-16 11:39:48.966243,Success,Primary
2023-11-16 11:39:49.079719,Success,Primary
2023-11-16 11:39:49.192738,Success,Primary
2023-11-16 11:39:49.302900,Success,Primary
2023-11-16 11:39:49.418966,Success,Primary
2023-11-16 11:39:49.546622,Success,Primary
2023-11-16 11:39:49.665711,Success,Primary
2023-11-16 11:39:49.789243,Success,Primary
2023-11-16 11:39:49.905408,Success,Primary
2023-11-16 11:39:50.021814,Success,Primary
2023-11-16 11:39:50.142832,Success,Primary
2023-11-16 11:39:50.261072,Success,Primary
2023-11-16 11:39:50.382395,Success,Primary
2023-11-16 11:39:50.497333,Success,Primary
2023-11-16 11:39:50.616868,Success,Primary
2023-11-16 11:39:50.737165,Success,Primary
2023-11-16 11:39:50.856188,Success,Primary
2023-11-16 11:39:50.972669,Success,Primary
2023-11-16 11:39:51.091531,Success,Primary
2023-11-16 11:39:51.201917,Success,Primary
2023-11-16 11:39:51.317188,Success,Primary
2023-11-16 11:39:51.434323,Success,Primary
2023-11-16 11:39:51.551341,Success,Primary
2023-11-16 11:39:51.671600,Success,Primary
2023-11-16 11:39:51.785404,Success,Primary
2023-11-16 11:39:51.898231,Success,Primary
2023-11-16 11:39:52.011788,Failure,Primary
2023-11-16 11:39:52.115133,Failure,Primary
2023-11-16 11:39:52.167172,Failure,Primary
2023-11-16 11:39:52.218175,Failure,Primary
2023-11-16 11:39:52.270567,Failure,Primary
2023-11-16 11:39:52.323758,Failure,Primary
2023-11-16 11:39:52.378539,Failure,Primary
2023-11-16 11:39:52.430993,Failure,Primary
2023-11-16 11:39:52.486875,Failure,Primary
2023-11-16 11:39:52.543142,Failure,Primary
2023-11-16 11:39:52.603666,Failure,Primary
2023-11-16 11:39:52.659141,Failure,Primary
2023-11-16 11:39:52.715221,Failure,Primary
2023-11-16 11:39:52.766256,Failure,Primary
2023-11-16 11:39:52.821479,Failure,Primary
2023-11-16 11:39:52.875558,Failure,Primary
2023-11-16 11:39:52.934796,Failure,Primary
2023-11-16 11:39:52.990704,Failure,Primary
2023-11-16 11:39:53.045875,Failure,Primary
2023-11-16 11:39:53.098539,Failure,Primary
2023-11-16 11:39:53.154120,Failure,Primary
2023-11-16 11:39:53.206426,Failure,Primary
2023-11-16 11:39:53.267445,Failure,Primary
2023-11-16 11:39:53.322484,Failure,Primary
2023-11-16 11:39:53.377504,Failure,Primary
2023-11-16 11:39:53.432359,Failure,Primary
2023-11-16 11:39:53.485638,Failure,Primary
2023-11-16 11:39:53.538898,Failure,Primary
2023-11-16 11:39:53.594052,Failure,Primary
2023-11-16 11:39:53.647720,Failure,Primary
2023-11-16 11:39:53.703601,Failure,Primary
2023-11-16 11:39:53.759193,Failure,Primary
2023-11-16 11:39:53.815928,Failure,Primary
2023-11-16 11:39:53.870001,Failure,Primary
2023-11-16 11:39:53.922955,Failure,Primary
2023-11-16 11:39:53.974946,Failure,Primary
2023-11-16 11:39:54.031837,Failure,Primary
2023-11-16 11:39:54.082890,Failure,Primary
2023-11-16 11:39:54.135681,Failure,Primary
2023-11-16 11:39:54.188300,Failure,Primary
2023-11-16 11:39:54.242641,Failure,Primary
2023-11-16 11:39:54.295678,Failure,Primary
2023-11-16 11:39:54.350639,Failure,Primary
2023-11-16 11:39:54.403291,Failure,Primary
2023-11-16 11:39:54.459203,Failure,Primary
2023-11-16 11:39:54.510224,Failure,Primary
2023-11-16 11:39:54.563382,Failure,Primary
2023-11-16 11:39:54.620388,Failure,Primary
2023-11-16 11:39:54.674746,Failure,Primary
2023-11-16 11:39:54.731806,Failure,Primary
2023-11-16 11:39:54.789617,Failure,Primary
2023-11-16 11:39:54.842572,Failure,Primary
2023-11-16 11:39:54.899199,Failure,Primary
2023-11-16 11:39:54.955960,Failure,Primary
2023-11-16 11:39:55.014994,Failure,Primary
2023-11-16 11:39:55.071311,Failure,Primary
2023-11-16 11:39:55.127862,Failure,Primary
2023-11-16 11:39:55.182519,Failure,Primary
2023-11-16 11:39:55.239210,Failure,Primary
2023-11-16 11:39:55.296620,Failure,Primary
2023-11-16 11:39:55.350515,Failure,Primary
2023-11-16 11:39:55.407131,Failure,Primary
2023-11-16 11:39:55.464203,Failure,Primary
2023-11-16 11:39:55.520565,Failure,Primary
2023-11-16 11:39:55.575280,Failure,Primary
2023-11-16 11:39:55.632339,Failure,Primary
2023-11-16 11:39:55.686793,Failure,Primary
2023-11-16 11:39:55.743196,Failure,Primary
2023-11-16 11:39:55.799116,Failure,Primary
2023-11-16 11:39:55.850059,Failure,Primary
2023-11-16 11:39:55.903124,Failure,Primary
2023-11-16 11:39:55.960719,Failure,Primary
2023-11-16 11:39:56.021164,Failure,Primary
2023-11-16 11:39:56.076152,Failure,Primary
2023-11-16 11:39:56.132738,Failure,Primary
2023-11-16 11:39:56.187936,Failure,Primary
2023-11-16 11:39:56.243640,Failure,Primary
2023-11-16 11:39:56.300627,Failure,Primary
2023-11-16 11:39:56.411121,Failure,Primary
2023-11-16 11:39:56.555992,Failure,Primary
2023-11-16 11:39:56.612072,Failure,Primary
2023-11-16 11:39:56.666759,Failure,Primary
2023-11-16 11:39:56.720379,Failure,Primary
2023-11-16 11:39:56.775349,Failure,Primary
2023-11-16 11:39:56.827895,Failure,Primary
2023-11-16 11:39:56.882902,Failure,Primary
2023-11-16 11:39:56.935313,Failure,Primary
2023-11-16 11:39:56.991303,Failure,Primary
2023-11-16 11:39:57.043416,Failure,Primary
2023-11-16 11:39:57.099260,Failure,Primary
2023-11-16 11:39:57.156195,Failure,Primary
2023-11-16 11:39:57.207836,Failure,Primary
2023-11-16 11:39:57.263136,Failure,Primary
2023-11-16 11:39:57.316217,Failure,Primary
2023-11-16 11:39:57.377293,Failure,Primary
2023-11-16 11:39:57.431146,Failure,Primary
2023-11-16 11:39:57.484232,Failure,Primary
2023-11-16 11:39:57.539127,Failure,Primary
2023-11-16 11:39:57.591661,Failure,Primary
2023-11-16 11:39:57.648069,Failure,Primary
2023-11-16 11:39:57.703689,Failure,Primary
2023-11-16 11:39:57.759195,Failure,Primary
2023-11-16 11:39:57.812790,Failure,Primary
2023-11-16 11:39:57.868979,Failure,Primary
2023-11-16 11:39:57.923708,Failure,Primary
2023-11-16 11:39:57.981529,Failure,Primary
2023-11-16 11:39:58.035687,Failure,Primary
2023-11-16 11:39:58.091306,Failure,Primary
2023-11-16 11:39:58.144424,Failure,Primary
2023-11-16 11:39:58.200802,Failure,Primary
2023-11-16 11:39:58.256436,Failure,Primary
2023-11-16 11:39:58.312030,Failure,Primary
2023-11-16 11:39:58.365401,Failure,Primary
2023-11-16 11:39:58.419398,Failure,Primary
2023-11-16 11:39:58.472013,Failure,Primary
2023-11-16 11:39:58.528896,Failure,Primary
2023-11-16 11:39:58.585425,Failure,Primary
2023-11-16 11:39:58.640933,Failure,Primary
2023-11-16 11:39:58.697305,Failure,Primary
2023-11-16 11:39:58.752169,Failure,Primary
2023-11-16 11:39:58.808691,Failure,Primary
2023-11-16 11:39:58.865658,Failure,Primary
2023-11-16 11:39:58.919694,Failure,Primary
2023-11-16 11:39:58.978028,Failure,Primary
2023-11-16 11:39:59.033045,Failure,Primary
2023-11-16 11:39:59.087058,Failure,Primary
2023-11-16 11:39:59.142389,Failure,Primary
2023-11-16 11:39:59.198564,Failure,Primary
2023-11-16 11:39:59.255349,Failure,Primary
2023-11-16 11:39:59.311909,Failure,Primary
2023-11-16 11:39:59.366175,Failure,Primary
2023-11-16 11:39:59.419752,Failure,Primary
2023-11-16 11:39:59.472169,Failure,Primary
2023-11-16 11:39:59.526462,Failure,Primary
2023-11-16 11:39:59.583020,Failure,Primary
2023-11-16 11:39:59.635468,Success,Primary
2023-11-16 11:39:59.763859,Success,Primary
2023-11-16 11:39:59.887568,Success,Primary
2023-11-16 11:40:00.019416,Success,Primary
2023-11-16 11:40:00.132206,Success,Primary
2023-11-16 11:40:00.245743,Success,Primary
2023-11-16 11:40:00.356922,Success,Primary
2023-11-16 11:40:00.468301,Success,Primary
2023-11-16 11:40:00.580641,Success,Primary
2023-11-16 11:40:00.692519,Success,Primary
2023-11-16 11:40:00.805854,Success,Primary
2023-11-16 11:40:00.918299,Success,Primary
2023-11-16 11:40:01.031486,Success,Primary
2023-11-16 11:40:01.148178,Success,Primary
2023-11-16 11:40:01.265122,Success,Primary
2023-11-16 11:40:01.380224,Success,Primary
2023-11-16 11:40:01.496498,Success,Primary
2023-11-16 11:40:01.607748,Success,Primary
2023-11-16 11:40:01.724067,Success,Primary
2023-11-16 11:40:01.835399,Success,Primary
2023-11-16 11:40:01.946320,Success,Primary
2023-11-16 11:40:02.056354,Success,Primary
2023-11-16 11:40:02.168829,Success,Primary
2023-11-16 11:40:02.291871,Success,Primary
2023-11-16 11:40:02.402401,Success,Primary
2023-11-16 11:40:02.512760,Success,Primary
2023-11-16 11:40:02.625085,Success,Primary
2023-11-16 11:40:02.738374,Success,Primary
2023-11-16 11:40:02.850729,Success,Primary
2023-11-16 11:40:02.962028,Success,Primary
2023-11-16 11:40:03.077041,Success,Primary
2023-11-16 11:40:03.189061,Success,Primary
2023-11-16 11:40:03.308385,Success,Primary
2023-11-16 11:40:03.421112,Success,Primary
2023-11-16 11:40:03.535106,Success,Primary
2023-11-16 11:40:03.648891,Success,Primary
2023-11-16 11:40:03.762313,Success,Primary
2023-11-16 11:40:03.873720,Success,Primary
2023-11-16 11:40:03.981965,Success,Primary
2023-11-16 11:40:04.089955,Success,Primary
2023-11-16 11:40:04.197977,Success,Primary
2023-11-16 11:40:04.301957,Success,Primary
2023-11-16 11:40:04.406348,Success,Primary
2023-11-16 11:40:04.514474,Success,Primary
2023-11-16 11:40:04.624705,Success,Primary
2023-11-16 11:40:04.732002,Success,Primary
2023-11-16 11:40:04.885679,Success,Primary
2023-11-16 11:40:04.997418,Success,Primary
2023-11-16 11:40:05.108104,Success,Primary
2023-11-16 11:40:05.219661,Success,Primary
2023-11-16 11:40:05.334393,Success,Primary
2023-11-16 11:40:05.453143,Success,Primary
2023-11-16 11:40:05.566689,Success,Primary
2023-11-16 11:40:05.677002,Success,Primary
2023-11-16 11:40:05.792858,Success,Primary
2023-11-16 11:40:05.906268,Success,Primary
2023-11-16 11:40:06.017970,Success,Primary
2023-11-16 11:40:06.130609,Success,Primary
2023-11-16 11:40:06.242974,Success,Primary
2023-11-16 11:40:06.361441,Success,Primary
2023-11-16 11:40:06.475403,Success,Primary
2023-11-16 11:40:06.586757,Success,Primary
2023-11-16 11:40:06.700772,Success,Primary
2023-11-16 11:40:06.819068,Success,Primary
