Timestamp,Response,Descriptor
2023-11-16 12:31:42.105372,Success,Primary
2023-11-16 12:31:42.218513,Success,Primary
2023-11-16 12:31:42.322509,Success,Primary
2023-11-16 12:31:42.436800,Success,Primary
2023-11-16 12:31:42.550219,Success,Primary
2023-11-16 12:31:42.667255,Success,Primary
2023-11-16 12:31:42.784194,Success,Primary
2023-11-16 12:31:42.897700,Success,Primary
2023-11-16 12:31:43.012265,Success,Primary
2023-11-16 12:31:43.122476,Success,Primary
2023-11-16 12:31:43.235052,Success,Primary
2023-11-16 12:31:43.345156,Success,Primary
2023-11-16 12:31:43.454002,Success,Primary
2023-11-16 12:31:43.567016,Success,Primary
2023-11-16 12:31:43.679143,Success,Primary
2023-11-16 12:31:43.799986,Success,Primary
2023-11-16 12:31:43.910653,Success,Primary
2023-11-16 12:31:44.019305,Success,Primary
2023-11-16 12:31:44.124214,Success,Primary
2023-11-16 12:31:44.233621,Success,Primary
2023-11-16 12:31:44.346578,Success,Primary
2023-11-16 12:31:44.455636,Success,Primary
2023-11-16 12:31:44.566610,Success,Primary
2023-11-16 12:31:44.683643,Success,Primary
2023-11-16 12:31:44.808267,Success,Primary
